"comment","purchase","test_drive","breakdown","feedback","quality"
"my vehicle has been damaged",0,0,1,0,0
"please tell someone to repair my car",0,0,1,0,0
"when will you repair my car",0,0,1,0,0
"our vehicle has met with an accident",0,0,1,0,0
"my car requires assistance",0,0,1,0,0
"want to buy a car",1,0,0,0,0
"need to purchase a vehicle",1,0,0,0,0
"i would like information on purchasing a new vehicle",1,0,0,0,0
"can i get information for buying a new vehicle",1,0,0,0,0
"will you please provide me with the details for a new vehicle",1,0,0,0,0
"what is the cost of the car",1,0,0,0,0
"we wanted to buy a new vehicle",1,0,0,0,0
"must purchase a car",1,0,0,0,0
"must lease a car",1,0,0,0,0
"think about buying a vehicle",1,0,0,0,0
"would like to buy a car",1,0,0,0,0
"would you like to buy a vehicle",1,0,0,0,0
"thought to buy a vehicle",1,0,0,0,0
"think of a car buy",1,0,0,0,0
"thinking about a car purchase",1,0,0,0,0
"thought about a vehicle to buy",1,0,0,0,0
"how can i purchase a vehicle",1,0,0,0,0
"how do i purchase a vehicle",1,0,0,0,0
"how can i purchase a car",1,0,0,0,0
"which vehicles can be purchased",1,0,0,0,0
"what vehicles can be purchased",1,0,0,0,0
"which cars for purchase are available",1,0,0,0,0
"what cars to purchase are available",1,0,0,0,0
"which vehicles can be purchased",1,0,0,0,0
"what vehicles for purchase are accessible",1,0,0,0,0
"would like to test a vehicle drive",0,1,0,0,0
"i wanted to take the test drive of the car",0,1,0,0,0
"i want to test drive a car",0,1,0,0,0
"want to test your vehicle drive",0,1,0,0,0
"would like to test the car drive",0,1,0,0,0
"would like to test a vehicle",0,1,0,0,0
"want to run a vehicle for testing",0,1,0,0,0
"want to run a car for trial",0,1,0,0,0
"wanna run a vehicle to test",0,1,0,0,0
"would like to try a car",0,1,0,0,0
"want to run a car to test",0,1,0,0,0
"wanna run a vehicle for testing",0,1,0,0,0
"run a vehicle trial",0,1,0,0,0
"test Run a Auto",0,1,0,0,0
"can we get a car for test drive",0,1,0,0,0
"test run a vehicle",0,1,0,0,0
"run a car Trial",0,1,0,0,0
"run a vehicle test",0,1,0,0,0
"run a vehicle trial",0,1,0,0,0
"i am looking for a vehicle for ride",0,1,0,0,0
"is a vehicle available for test ride",0,1,0,0,0
"why will i not get the test ride",0,1,0,0,0
"is the test drive available",0,1,0,0,0
"i want an electric car for test drive",0,1,0,0,0
"sorry sir no vehicle is available for test drive",0,1,0,0,0
"my friend was given a car for test ride",0,1,0,0,0
"why can't i get the test drive",0,1,0,0,0
"I'm sorry there seems to be some sort of miscommunication the TECO electric vehicle is not ready for test drive get for private purposes",0,1,0,0,0
"sorry test drive is not possible",0,1,0,0,0
"which car do you want for test drive",0,1,0,0,0
"is the vehicle available for a test ride",0,1,0,0,0
"run a car for testing",0,1,0,0,0
"vehicle drive test",0,1,0,0,0
"how can i test a car",0,1,0,0,0
"how can i test a vehicle",0,1,0,0,0
"we want to test drive a car",0,1,0,0,0
"i would like to test your fresh car",0,1,0,0,0
"i would like to test your new vehicle",0,1,0,0,0
"my car had a failure",0,0,1,0,0
"my vehicle has had a breakdown",0,0,1,0,0
"my vehicle has a rupture",0,0,1,0,0
"a failure of my car",0,0,1,0,0
"a breakdown in my car",0,0,1,0,0
"my car requires to be repaired",0,0,1,0,0
"my vehicle is under breakdown i am on the road",0,0,1,0,0
"it has got broken down",0,0,1,0,0
